"","Date","Cases_African_American","Cases_Asian","Cases_Hispanic","Cases_Multi_Racial","Cases_Native_American","Cases_Pacific_Islander","Cases_White","Cases_Other","Cases_Race_Or_Ethnicity_Unknown","New_Cases_African_American","New_Cases_Asian","New_Cases_Hispanic","New_Cases_Multi_Racial","New_Cases_Native_American","New_Cases_Pacific_Islander","New_Cases_White","New_Cases_Other","New_Cases_Race_Or_Ethnicity_Unknown","Deaths_African_American","Deaths_Asian","Deaths_Hispanic","Deaths_Multi_Racial","Deaths_Native_American","Deaths_Pacific_Islander","Deaths_White","Deaths_Other","Deaths_Race_Or_Ethnicity_Unknown","New_Deaths_African_American","New_Deaths_Asian","New_Deaths_Hispanic","New_Deaths_Multi_Racial","New_Deaths_Native_American","New_Deaths_Pacific_Islander","New_Deaths_White","New_Deaths_Other","New_Deaths_Race_Or_Ethnicity_Unknown","Total_State_Population_African_American","Total_State_Population_Asian","Total_State_Population_Hispanic","Total_State_Population_Multi_Racial","Total_State_Population_Native_American","Total_State_Population_Pacific_Islander","Total_State_Population_White","Total_State_Population_Other","Total_State_Population_Race_Or_Ethnicity_Unknown","Pct_State_Population_African_American","Pct_State_Population_Asian","Pct_State_Population_Hispanic","Pct_State_Population_Multi_Racial","Pct_State_Population_Native_American","Pct_State_Population_Pacific_Islander","Pct_State_Population_White","Pct_State_Population_Other","Pct_State_Population_Race_Or_Ethnicity_Unknown","Cases_Per_10_000_African_American","Cases_Per_10_000_Asian","Cases_Per_10_000_Hispanic","Cases_Per_10_000_Multi_Racial","Cases_Per_10_000_Native_American","Cases_Per_10_000_Pacific_Islander","Cases_Per_10_000_White","Cases_Per_10_000_Other","Cases_Per_10_000_Race_Or_Ethnicity_Unknown","Deaths_Per_10_000_African_American","Deaths_Per_10_000_Asian","Deaths_Per_10_000_Hispanic","Deaths_Per_10_000_Multi_Racial","Deaths_Per_10_000_Native_American","Deaths_Per_10_000_Pacific_Islander","Deaths_Per_10_000_White","Deaths_Per_10_000_Other","Deaths_Per_10_000_Race_Or_Ethnicity_Unknown","Cases_Other_Race","Cases_Unknown_Race","Deaths_Other_Race","Deaths_Unknown_Race","Na","Deaths_Na","Objectid","Fips","Nonhispanic","Cases_0_10","Cases_11_17","Cases_18_24","Cases_25_34","Cases_35_44","Deaths_0_10","Deaths_11_17","Deaths_18_24","Deaths_25_34","Deaths_35_44","Male","Female","Unk_Gender","Diabetes","Cardiac_Disease","Hypertension","Cpd","Ckd","Immunocompromised","Healthcare","Nursing_Home","Jailed","Positives","Deaths_Nursing_Home","Deaths_Jailed","Deaths","Deaths_Nonhispanic","Cases_45_54","Deaths_45_54","Cases_55_64","Deaths_55_64","Cases_65","Deaths_65","Noncovid_Death","Pos_24Hr","Cases_Unknown","Deaths_Unknown","objectid_1","objectid","fips","d_age_9","age_9","hosp_age_1","hosp_age_2","hosp_age_3","hosp_age_4","hosp_age_5","hosp_age_6","hosp_age_7","hosp_age_8","active_m","active_f","active_u","active_multi_race","active_white","active_black","active_asian","active_ai_an","active_nh_pi","active_other","active_unk","active_hispanic","active_non_hispanic","active_age_1","active_age_2","active_age_3","active_age_4","active_age_5","active_age_6","active_age_7","active_age_8","active_age_9","active_age_0","active_fully_immu","hospital_fully_immu","intubated_fully_immu","deaths_fully_immu","cases_fully_immu","total_hosp","total_intub","positive_feb","deaths_feb","hosp_feb","intub_feb","active_cases","percent_fully_active","percent_fully_cases","percent_fully_deaths","percent_fully_hosp","percent_fully_intub","Hosp_0_10","Hosp_11_17","Hosp_18_24","Hosp_25_34","Hosp_35_44","Hosp_45_54","Hosp_55_64","Hosp_65","Deaths_0_17","Active_Male","Active_Female","Active_Unknown","Active_Multi_Race","Active_White","Active_Black","Active_Asian","Active_Native_American","Active_Pacific_Islander","Active_Other","Active_Unknown2","Active_Hispanic","Active_NonHispanic","Active_0_4","Active_5_11","Active_12_18","Active_19_24","Active_25_34","Active_35_44","Active_45_54","Active_55_64","Active_65_Plus","Active_fully_immu","Hospital_fully_immu","Vent_fully_immu","Deaths_fully_immu","Cases_fully_immu","Total_hosp","Total_intub"
"2","2021-09-20",75610,4144,44779,2269,1601,4090,323518,25108,49112,73,5,34,7,1,2,407,NA,NA,1120,42,270,19,24,62,5831,NA,82,5,0,2,0,0,0,22,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1595.83786236664,807.750034111066,1927.04769528039,341.758043137727,530.518921068328,3388.28597464999,1355.28592847421,NA,NA,23.6389155647485,8.18665575112566,11.6193500910182,2.86179057717797,7.9528133077076,51.3627702758678,24.4273031143031,NA,NA,NA,NA,302,NA,NA,NA,NA,NA,440673,37868,44614,61492,79747,73963,NA,NA,20,83,197,226239,253793,5420,26353,13943,48844,9170,3511,3469,26485,17694,16154,485452,2189,63,7482,7212,65845,444,56738,1067,65185,5668,125,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175146,1774,9466,971,15004,15.9,12.1,12.3,9.8,8,428,325,834,1706,2370,3541,4903,11409,3,7150,7587,267,38,9759,1768,83,30,68,714,2544,852,14152,695,1529,1908,1440,2332,2074,1767,1463,1796,2389,929,81,218,21128,NA,NA
"1:1","2021-09-19",75537,4139,44745,2262,1600,4088,323111,25111,49208,95,8,49,4,0,2,543,NA,NA,1115,42,268,19,24,62,5809,NA,74,1,0,0,0,0,0,10,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1594.29711162,806.775432235932,1925.58451786152,340.703699240872,530.187553847173,3386.6291110927,1353.58091863584,NA,NA,23.5333846916916,8.18665575112566,11.5332808310848,2.86179057717797,7.9528133077076,51.3627702758678,24.3351404203373,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,440311,37835,44586,61444,79679,73908,NA,NA,20,81,191,226038,253604,5414,26292,13923,48764,9156,3505,3460,26448,17683,16150,485056,2186,63,7445,7177,65783,440,56690,1060,65131,5650,125,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174733,1737,9414,962,15774,15.8,12,12.3,9.8,8,427,325,833,1700,2365,3533,4894,11383,3,7467,8030,277,38,10190,1851,83,34,70,753,2755,871,14903,718,1613,2044,1515,2418,2167,1865,1550,1884,2498,920,80,213,21040,NA,NA
"1:2","2021-09-18",75442,4131,44696,2258,1600,4086,322568,25104,49128,176,5,100,2,3,13,949,NA,NA,1114,42,268,19,24,62,5799,NA,74,-1,0,0,0,0,0,19,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1592.29202503192,805.216069235717,1923.47582099315,340.101217014098,530.187553847173,3384.97224753542,1351.30617578023,NA,NA,23.5122785170802,8.18665575112566,11.5332808310848,2.86179057717797,7.9528133077076,51.3627702758678,24.2932482867165,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,439621,37738,44512,61358,79558,73794,NA,NA,20,80,190,225693,253216,5408,26242,13900,48690,9134,3504,3458,26425,17666,16144,484317,2186,63,7434,7166,65693,439,56619,1059,65045,5643,125,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173969,1726,9391,960,16274,15.8,12,12.3,9.7,8,426,325,833,1697,2364,3530,4889,11373,3,7685,8299,290,37,10470,1891,87,38,72,802,2877,880,15394,728,1701,2147,1537,2492,2232,1903,1614,1920,2571,914,80,213,20908,NA,NA
"1:3","2021-09-17",75266,4126,44596,2256,1597,4073,321619,25032,48774,213,22,133,2,7,3,1289,NA,NA,1115,42,268,19,24,62,5780,NA,71,3,0,1,0,0,0,15,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1588.57733830032,804.241467360583,1919.17235799648,339.799975900711,529.19345218371,3374.20263441306,1347.33061229961,NA,NA,23.5333846916916,8.18665575112566,11.5332808310848,2.86179057717797,7.9528133077076,51.3627702758678,24.2136532328369,NA,NA,NA,NA,299,NA,NA,NA,NA,NA,438147,37612,44300,61149,79307,73573,NA,NA,20,79,190,224941,252467,5335,26190,13870,48596,9103,3498,3452,26386,17651,16141,482743,2181,63,7412,7144,65493,437,56460,1056,64849,5627,123,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172513,1707,9372,960,16308,15.6,12,12.2,9.7,8,426,324,833,1697,2362,3530,4884,11362,3,7682,8359,267,40,10522,1886,100,40,68,781,2871,850,15458,842,1719,2167,1510,2478,2237,1880,1607,1868,2546,911,80,209,20634,NA,NA
"1:4","2021-09-16",75053,4104,44463,2254,1590,4070,320330,24925,48608,218,7,97,5,3,8,1144,NA,NA,1112,42,267,19,24,62,5765,NA,73,3,0,0,0,0,0,26,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1584.0817231081,799.953219109993,1913.4487522109,339.498734787324,526.873881635629,3371.71733907713,1341.93071627589,NA,NA,23.4700661678574,8.18665575112566,11.490246201118,2.86179057717797,7.9528133077076,51.3627702758678,24.1508150324057,NA,NA,NA,NA,298,NA,NA,NA,NA,NA,436471,37372,44030,60971,79028,73300,NA,NA,20,78,189,224031,251522,5381,26122,13841,48491,9081,3490,3438,26340,17638,16127,480934,2181,63,7395,7128,65304,436,56288,1053,64641,5616,119,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170783,1688,9295,949,16401,15.2,11.9,12.2,9.6,8,421,321,830,1692,2352,3523,4864,11334,3,7653,8434,314,48,10436,1924,96,42,72,734,3049,813,15588,857,1734,2198,1545,2503,2233,1891,1623,1817,2492,896,77,206,20311,NA,NA
"1:5","2021-09-15",74835,4097,44366,2249,1587,4062,319186,24868,48226,212,7,91,8,4,6,1262,NA,NA,1109,42,267,19,24,62,5739,NA,70,2,0,1,0,0,0,26,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1579.48057704281,798.588776484806,1909.27439310413,338.745632003856,525.879779972165,3365.08988484798,1337.13825618967,NA,NA,23.4067476440233,8.18665575112566,11.490246201118,2.86179057717797,7.9528133077076,51.3627702758678,24.0418954849915,NA,NA,NA,NA,297,NA,NA,NA,NA,NA,434744,37080,43837,60724,78756,73059,NA,NA,20,77,189,223223,250535,5352,26045,13805,48355,9053,3479,3423,26278,17610,16122,479110,2181,63,7362,7095,65115,431,56107,1044,64432,5598,119,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169105,1666,9181,933,16695,14.8,11.8,12.4,9.6,8,417,319,827,1683,2337,3505,4838,11292,3,7828,8542,325,44,10602,1950,108,41,70,767,3113,819,15876,817,1850,2285,1538,2550,2277,1929,1617,1832,2471,882,77,206,20010,NA,NA
"1:6","2021-09-14",74623,4090,44275,2241,1583,4056,317924,24822,47852,179,6,106,3,3,5,1135,NA,NA,1107,42,266,19,24,62,5713,NA,70,10,0,3,0,0,0,32,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1575.0060680252,797.224333859618,1905.35824177716,337.540667550307,524.554311087547,3360.11929417613,1331.85146892672,NA,NA,23.3645352948005,8.18665575112566,11.4472115711513,2.86179057717797,7.9528133077076,51.3627702758678,23.9329759375774,NA,NA,NA,NA,297,NA,NA,NA,NA,NA,432916,36826,43555,60508,78470,72784,NA,NA,20,76,189,222272,249575,5344,25997,13762,48274,9028,3464,3413,26225,17558,16095,477191,2180,63,7334,7068,64910,429,55925,1036,64213,5581,117,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167365,1649,9127,924,17084,14.4,11.8,12.4,9.6,8,416,319,825,1676,2332,3497,4830,11268,3,7951,8776,357,38,10787,2034,110,42,73,805,3195,847,16237,848,1922,2325,1588,2610,2333,1973,1638,1847,2466,875,75,204,19682,NA,NA
"1:7","2021-09-13",74444,4084,44169,2238,1580,4051,316789,24745,47716,63,2,35,4,1,1,430,NA,NA,1097,42,263,19,24,62,5681,NA,79,3,0,2,0,0,0,17,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1571.22806276976,796.054811609457,1900.79657100068,337.088805880227,523.560209424084,3355.97713528291,1327.09671176076,NA,NA,23.1534735486867,8.18665575112566,11.3181076812511,2.86179057717797,7.9528133077076,51.3627702758678,23.7989211099907,NA,NA,NA,NA,294,NA,NA,NA,NA,NA,431478,36563,43341,60344,78235,72596,NA,NA,19,75,186,221478,248684,5485,25952,13741,48181,9013,3460,3410,26189,17548,16092,475647,2178,63,7298,7035,64743,423,55779,1030,64046,5562,114,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165987,1624,9009,916,17821,14.5,11.7,12.2,9.6,8,416,318,817,1664,2319,3474,4813,11221,3,8257,9142,422,37,11112,2125,113,44,73,834,3483,857,16964,885,2055,2458,1688,2693,2433,1996,1716,1897,2576,864,75,198,19463,NA,NA
"1:8","2021-09-12",74381,4082,44134,2234,1579,4050,316359,24700,47616,145,14,61,5,4,13,772,NA,NA,1094,42,261,19,24,62,5664,NA,70,3,0,0,0,0,1,29,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1569.89837376925,795.664970859404,1899.29035895185,336.486323653452,523.228842202929,3355.14870350427,1325.29535001506,NA,NA,23.0901550248525,8.18665575112566,11.2320384213176,2.86179057717797,7.9528133077076,51.3627702758678,23.7277044828353,NA,NA,NA,NA,292,NA,NA,NA,NA,NA,430867,36484,43271,60274,78129,72485,NA,NA,18,73,186,221193,248347,5461,25903,13710,48088,8996,3455,3408,26159,17522,16089,475001,2176,63,7267,7006,64667,422,55721,1021,63970,5544,114,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165339,1600,8943,910,19588,14.4,11.7,12.1,9.5,8,416,318,814,1658,2310,3462,4801,11193,3,9119,10025,444,37,12203,2366,126,48,82,881,3845,939,18649,989,2293,2785,1859,2955,2631,2168,1897,2011,2826,851,74,194,19358,NA,NA
"1:9","2021-09-11",74236,4068,44073,2229,1575,4037,315587,24656,47497,204,12,87,5,7,9,1091,NA,NA,1091,42,261,19,24,61,5635,NA,68,2,0,1,0,0,0,24,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1566.8379784506,792.936085609029,1896.66524652388,335.733220869984,521.903373318311,3344.37909038191,1322.06127729953,NA,NA,23.0268365010184,8.18665575112566,11.2320384213176,2.86179057717797,7.9528133077076,50.5343384972248,23.6062172953349,NA,NA,NA,NA,292,NA,NA,NA,NA,NA,429812,36401,43112,60101,77941,72317,NA,NA,18,73,183,220667,247772,5446,25839,13684,47982,8977,3450,3403,26121,17506,16079,473885,2171,63,7232,6971,64540,419,55618,1020,63855,5516,114,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164238,1581,8923,908,19853,14.3,11.7,12.1,9.5,8,417,317,813,1658,2309,3462,4796,11180,3,9243,10170,440,39,12360,2388,122,48,72,882,3942,947,18906,1070,2334,2821,1860,2985,2630,2189,1907,2057,2846,848,74,192,19175,NA,NA
"1:10","2021-09-10",74032,4056,43986,2224,1568,4028,314496,24580,47152,234,9,129,6,4,3,1334,NA,NA,1089,42,260,19,24,61,5611,NA,63,6,0,3,0,0,0,25,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1562.53231882987,790.597041108707,1892.92123371677,334.980118086516,519.58380277023,3336.92320437412,1317.4908455215,NA,NA,22.9846241517956,8.18665575112566,11.1890037913509,2.86179057717797,7.9528133077076,50.5343384972248,23.505676174645,NA,NA,NA,NA,290,NA,NA,NA,NA,NA,428150,36250,42821,59895,77669,72084,NA,NA,18,72,182,219879,246882,5375,25784,13652,47889,8951,3445,3398,26071,17494,16075,472136,2165,63,7199,6939,64340,417,55425,1007,63652,5500,114,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162639,1555,8872,904,19742,14.4,11.6,11.9,9.5,8,412,313,813,1654,2303,3450,4789,11168,3,9207,10133,402,42,12347,2399,118,45,70,863,3858,938,18804,1157,2379,2783,1833,2951,2631,2186,1838,1984,2838,845,73,185,18927,NA,NA
"1:11","2021-09-09",73798,4047,43857,2218,1564,4025,313162,24497,46666,251,19,117,12,11,15,1542,NA,NA,1083,42,257,19,24,61,5586,NA,69,8,0,1,0,0,0,16,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1557.59347397081,788.842757733466,1887.36976645106,334.076394746355,518.258333885612,3334.43790903819,1311.90243489648,NA,NA,22.8579871041273,8.18665575112566,11.0598999014507,2.86179057717797,7.9528133077076,50.5343384972248,23.4009458405929,NA,NA,NA,NA,285,NA,NA,NA,NA,NA,426120,35767,42480,59678,77371,71804,NA,NA,18,72,180,218806,245745,5426,25714,13624,47791,8929,3439,3395,26026,17474,16072,469977,2159,63,7169,6912,64164,412,55258,1003,63455,5481,114,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160690,1531,8772,889,19714,14.5,11.6,11.9,9.5,8,409,313,810,1647,2294,3429,4767,11131,3,9174,10170,370,42,12327,2429,120,44,80,874,3798,911,18803,1000,2451,2771,1850,2933,2615,2231,1862,2001,2856,831,73,182,18623,NA,NA
"1:12","2021-09-08",73547,4028,43740,2206,1553,4010,311620,24394,46138,204,15,118,3,7,5,1406,NA,NA,1075,42,256,19,24,61,5570,NA,67,6,1,1,0,0,0,21,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1552.29582414335,785.139270607957,1882.33471474496,332.268948066032,514.613294452913,3322.01143235855,1305.44266789215,NA,NA,22.6891377072363,8.18665575112566,11.016865271484,2.86179057717797,7.9528133077076,50.5343384972248,23.3339184267996,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,423756,35547,42064,59423,76979,71464,NA,NA,17,72,179,217691,244437,5368,25654,13598,47692,8902,3430,3379,25965,17441,16064,467496,2157,63,7142,6886,63778,410,55017,996,63224,5465,114,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158461,1509,8644,877,19500,14.4,11.5,11.9,9.5,8,406,305,805,1633,2279,3408,4734,11095,3,9080,10068,352,39,12133,2467,121,40,74,874,3752,902,18598,1131,2459,2694,1844,2890,2591,2091,1829,1971,2803,817,73,180,18269,NA,NA
"1:13","2021-09-07",73343,4013,43622,2203,1546,4005,310214,24289,45702,108,8,30,2,1,3,467,NA,NA,1069,41,255,19,24,61,5549,NA,65,6,1,0,0,0,0,28,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1547.99016452263,782.215464982555,1877.25662840888,331.817086395951,512.293723904831,3317.86927346533,1299.55263390506,NA,NA,22.562500659568,7.99173537609886,10.9738306415172,2.86179057717797,7.9528133077076,50.5343384972248,23.2459449461958,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,421693,35203,41731,59157,76656,71170,NA,NA,16,68,176,216715,243306,5294,25603,13562,47603,8881,3422,3371,25931,17410,16054,465315,2156,63,7108,6853,63541,409,54831,986,63026,5450,114,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156490,1480,8457,845,19794,14.2,11.5,11.9,9.3,8,398,302,799,1614,2258,3376,4694,11032,3,9241,10215,338,42,12262,2562,118,38,88,879,3805,926,18868,1110,2541,2741,1857,2928,2636,2091,1882,2008,2804,788,70,176,17929,NA,NA
"1:14","2021-09-06",73235,4005,43592,2201,1545,4002,309747,24275,45722,146,14,37,4,2,7,711,NA,NA,1063,40,255,19,24,61,5521,NA,64,3,0,0,0,0,0,5,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1545.7106976646,780.65610198234,1875.96558950988,331.515845282564,511.962356683677,3315.3839781294,1297.59627126497,NA,NA,22.4358636118997,7.79681500107206,10.9738306415172,2.86179057717797,7.9528133077076,50.5343384972248,23.1286469720575,NA,NA,NA,NA,278,NA,NA,NA,NA,NA,421140,35051,41682,59096,76573,71102,NA,NA,15,67,174,216442,243008,5282,25562,13544,47512,8858,3417,3357,25897,17381,16047,464732,2155,63,7070,6815,63473,405,54788,981,62967,5425,114,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155906,1443,8417,839,21675,14.1,11.4,11.7,9.3,8,397,300,798,1609,2254,3373,4689,11013,3,10109,11194,372,48,13350,2751,122,44,96,1000,4264,1023,20652,1133,2815,3052,2047,3188,2919,2286,2059,2176,3065,781,69,169,17823,NA,NA
"1:15","2021-09-05",73089,3991,43555,2197,1543,3995,309036,24240,45704,160,1,65,5,1,11,702,NA,NA,1060,40,255,19,24,61,5516,NA,61,5,0,0,0,0,0,14,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1542.62919617134,777.927216731965,1874.37330820111,330.91336305579,511.299622241368,3309.5849556789,1294.61774056453,NA,NA,22.3725450880655,7.79681500107206,10.9738306415172,2.86179057717797,7.9528133077076,50.5343384972248,23.1077009052471,NA,NA,NA,NA,276,NA,NA,NA,NA,NA,420240,35018,41539,58984,76419,70949,NA,NA,15,67,174,215998,242503,5294,25502,13516,47405,8833,3408,3351,25870,17366,16041,463795,2153,63,7057,6802,63353,404,54680,977,62853,5417,114,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154964,1431,8401,839,23343,14,11.4,11.8,9.2,8,396,300,797,1609,2254,3371,4686,11004,3,10851,12068,424,54,14303,2953,116,47,102,1079,4689,1121,22222,1365,3007,3287,2211,3404,3108,2453,2189,2319,3260,777,69,169,17654,NA,NA
"1:16","2021-09-04",72929,3990,43490,2192,1542,3984,308334,24188,45564,286,11,113,2,2,6,1478,NA,NA,1055,40,255,19,24,61,5502,NA,61,1,0,1,0,0,0,12,NA,NA,473795,51303,232371,66392,30178,12071,2387083,NA,NA,"15.70%","1.70%","7.70%","2.20%","1.00%","0.40%","79.10%",NA,NA,1539.25220823352,777.732296356938,1871.57605725327,330.160260272322,510.968255020213,3300.47220611383,1291.67691278435,NA,NA,22.2670142150086,7.79681500107206,10.9738306415172,2.86179057717797,7.9528133077076,50.5343384972248,23.049051918178,NA,NA,NA,NA,276,NA,NA,NA,NA,NA,419233,34720,41434,58879,76272,70816,NA,NA,15,67,173,215481,241977,5265,25454,13482,47311,8812,3404,3348,25849,17348,16036,462723,2151,63,7038,6783,63257,401,54584,974,62761,5405,114,NA,NA,NA,1,1,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153861,1413,8384,839,23719,14,11.4,11.9,9.2,8,396,299,797,1608,2254,3370,4679,10997,3,10950,12362,407,54,14552,2983,126,48,99,1103,4754,1148,22571,1235,3083,3389,2250,3462,3181,2525,2239,2355,3332,774,69,168,17507,NA,NA
