"","Date","County_Name","Total_Positives","Total_Deaths","New_Deaths_7_Day_Avg","New_Deaths_Today","Cases_Per_Death"
"1",2020-04-08,"Arkansas_all_counties",1023,18,NA,0,56.8333333333333
"2",2020-04-09,"Arkansas_all_counties",1094,21,NA,3,52.0952380952381
"3",2020-04-10,"Arkansas_all_counties",1171,24,NA,3,48.7916666666667
"4",2020-04-11,"Arkansas_all_counties",1226,25,NA,1,49.04
"5",2020-04-12,"Arkansas_all_counties",1280,27,NA,3,47.4074074074074
"6",2020-04-13,"Arkansas_all_counties",1410,30,NA,3,47
"7",2020-04-14,"Arkansas_all_counties",1498,32,2.1,2,46.8125
"8",2020-04-15,"Arkansas_all_counties",1569,33,2.3,1,47.5454545454545
"9",2020-04-16,"Arkansas_all_counties",1620,37,2.4,4,43.7837837837838
"10",2020-04-17,"Arkansas_all_counties",1695,38,2.1,1,44.6052631578947
"11",2020-04-18,"Arkansas_all_counties",1739,38,2.1,1,45.7631578947368
"12",2020-04-19,"Arkansas_all_counties",1781,40,2,2,44.525
"13",2020-04-20,"Arkansas_all_counties",1923,42,1.9,2,45.7857142857143
"14",2020-04-21,"Arkansas_all_counties",2227,42,1.6,0,53.0238095238095
"15",2020-04-22,"Arkansas_all_counties",2276,42,1.4,0,54.1904761904762
"16",2020-04-23,"Arkansas_all_counties",2465,45,1.3,3,54.7777777777778
"17",2020-04-24,"Arkansas_all_counties",2741,46,1.3,1,59.5869565217391
"18",2020-04-25,"Arkansas_all_counties",2830,49,1.6,3,57.7551020408163
"19",2020-04-26,"Arkansas_all_counties",2941,49,1.3,0,60.0204081632653
"20",2020-04-27,"Arkansas_all_counties",3017,49,1.1,1,61.5714285714286
"21",2020-04-28,"Arkansas_all_counties",3111,51,1.4,2,61
"22",2020-04-29,"Arkansas_all_counties",3192,59,2.6,8,54.1016949152542
"23",2020-04-30,"Arkansas_all_counties",3255,60,2.3,1,54.25
"24",2020-05-01,"Arkansas_all_counties",3321,64,2.7,4,51.890625
"25",2020-05-02,"Arkansas_all_counties",3372,73,3.6,9,46.1917808219178
"26",2020-05-03,"Arkansas_all_counties",3431,76,4,3,45.1447368421053
"27",2020-05-04,"Arkansas_all_counties",3458,80,4.4,4,43.225
"28",2020-05-05,"Arkansas_all_counties",3496,82,4.4,2,42.6341463414634
"29",2020-05-06,"Arkansas_all_counties",3568,85,3.7,3,41.9764705882353
"30",2020-05-07,"Arkansas_all_counties",3665,88,4,3,41.6477272727273
"31",2020-05-08,"Arkansas_all_counties",3747,88,3.4,0,42.5795454545455
"32",2020-05-09,"Arkansas_all_counties",3984,90,2.4,2,44.2666666666667
"33",2020-05-10,"Arkansas_all_counties",4012,91,2.1,1,44.0879120879121
"34",2020-05-11,"Arkansas_all_counties",4043,94,2,3,43.0106382978723
"35",2020-05-12,"Arkansas_all_counties",4164,95,1.9,1,43.8315789473684
"36",2020-05-13,"Arkansas_all_counties",4236,97,1.7,2,43.6701030927835
"37",2020-05-14,"Arkansas_all_counties",4366,98,1.4,1,44.5510204081633
"38",2020-05-15,"Arkansas_all_counties",4463,98,1.4,0,45.5408163265306
"39",2020-05-16,"Arkansas_all_counties",4578,98,1.1,0,46.7142857142857
"40",2020-05-17,"Arkansas_all_counties",4759,98,1,0,48.5612244897959
"41",2020-05-18,"Arkansas_all_counties",4813,100,0.9,2,48.13
"42",2020-05-19,"Arkansas_all_counties",4923,102,1,2,48.2647058823529
"43",2020-05-20,"Arkansas_all_counties",5003,107,1.4,5,46.7570093457944
"44",2020-05-21,"Arkansas_all_counties",5458,110,1.7,3,49.6181818181818
"45",2020-05-22,"Arkansas_all_counties",5612,113,2.1,3,49.6637168141593
"46",2020-05-23,"Arkansas_all_counties",5775,115,2.4,2,50.2173913043478
"47",2020-05-24,"Arkansas_all_counties",5922,116,2.6,1,51.051724137931
"48",2020-05-25,"Arkansas_all_counties",6029,117,2.4,1,51.5299145299145
"49",2020-05-26,"Arkansas_all_counties",6180,119,2.4,2,51.9327731092437
"50",2020-05-27,"Arkansas_all_counties",6277,120,1.9,1,52.3083333333333
"51",2020-05-28,"Arkansas_all_counties",6538,125,2.1,5,52.304
"52",2020-05-29,"Arkansas_all_counties",6777,132,2.7,7,51.3409090909091
